#X Y timestamp framecnt Z flag
134.2 85.2 1654241552.42 2845186 0.0 0
134.2 87.8 1654241555.71 2849370 0.0 0
134.2 90.4 1654241559.0 2853555 0.0 0
134.2 93.0 1654241562.29 2857738 0.0 0
134.2 95.6 1654241565.58 2861920 0.0 0
134.2 98.2 1654241568.87 2866104 0.0 0
134.2 100.8 1654241572.16 2870287 0.0 0
134.2 103.4 1654241575.45 2874470 0.0 0
134.2 106.0 1654241578.74 2878655 0.0 0
134.2 108.6 1654241582.04 2882840 0.0 0
134.2 111.2 1654241585.32 2887023 0.0 0
134.2 113.8 1654241588.62 2891207 0.0 0
134.2 116.4 1654241591.9 2895390 0.0 0
134.2 119.0 1654241595.2 2899576 0.0 0
134.2 121.6 1654241598.49 2903759 0.0 0
134.2 124.2 1654241601.78 2907944 0.0 0
134.2 126.8 1654241605.07 2912126 0.0 0
134.2 129.4 1654241608.36 2916310 0.0 0
134.2 132.0 1654241611.65 2920493 0.0 0
134.2 134.6 1654241614.94 2924676 0.0 0
134.2 137.2 1654241618.23 2928859 0.0 0
134.2 139.8 1654241621.52 2933044 0.0 0
134.2 142.4 1654241624.81 2937227 0.0 0
134.2 145.0 1654241628.1 2941411 0.0 0
136.8 15.0 1654241639.9 2956425 0.0 0
136.8 17.6 1654241643.2 2960612 0.0 0
136.8 20.2 1654241646.49 2964795 0.0 0
136.8 22.8 1654241649.78 2968979 0.0 0
136.8 25.4 1654241653.07 2973164 0.0 0
136.8 28.0 1654241656.36 2977347 0.0 0
136.8 30.6 1654241659.65 2981531 0.0 0
136.8 33.2 1654241662.94 2985714 0.0 0
136.8 35.8 1654241666.23 2989899 0.0 0
136.8 38.4 1654241669.52 2994082 0.0 0
136.8 41.0 1654241672.81 2998267 0.0 0
136.8 43.6 1654241676.1 3002450 0.0 0
136.8 46.2 1654241679.39 3006633 0.0 0
136.8 48.8 1654241682.68 3010818 0.0 0
136.8 51.4 1654241685.97 3015001 0.0 0
136.8 54.0 1654241689.26 3019186 0.0 0
136.8 56.6 1654241692.55 3023369 0.0 0
136.8 59.2 1654241695.84 3027554 0.0 0
136.8 61.8 1654241699.13 3031738 0.0 0
136.8 64.4 1654241702.42 3035923 0.0 0
136.8 67.0 1654241705.71 3040106 0.0 0
136.8 69.6 1654241709.0 3044290 0.0 0
136.8 72.2 1654241712.29 3048473 0.0 0
136.8 74.8 1654241715.58 3052657 0.0 0
136.8 77.4 1654241718.88 3056843 0.0 0
136.8 80.0 1654241722.17 3061028 0.0 0
136.8 82.6 1654241725.46 3065213 0.0 0
136.8 85.2 1654241728.75 3069398 0.0 0
136.8 87.8 1654241732.04 3073581 0.0 0
136.8 90.4 1654241735.33 3077766 0.0 0
136.8 93.0 1654241738.62 3081951 0.0 0
136.8 95.6 1654241741.91 3086136 0.0 0
136.8 98.2 1654241745.2 3090319 0.0 0
136.8 100.8 1654241748.49 3094502 0.0 0
136.8 103.4 1654241751.78 3098686 0.0 0
